"DIVIPOLA","Departamento","Municipio","Número de Atenciones 2017","Número de Atenciones 2018","Número de Atenciones 2019","Número de Personas Atendidas 2017","Número de Personas Atendidas 2018","Número de Personas Atendidas 2019","Variación 2017 -2018","Variación 2018 - 2019","Total Número de embarazos, partos y puerperios","Total Número de Personas Atendidas de embarazos, partos y puerperios","tasa representativa (aproximación)","Tasa representativa "
"5380"," Antioquia","La Estrella    ","","11","15","","3","8","1","0.625","26","11","0 ??/10","42%"
"5736"," Antioquia","Segovia     ","","","47","","","8","#DIV/0!","1","47","8","0 ??/10","17%"
"8421","Atlántico","Luruaco     ","","47","43","","13","8","1","-0.625","90","21","0 ??/10","23%"
"8433","Atlántico","Malambo     ","","22","16","","16","8","1","-1","38","24","1 ??/11","63%"
"8638","Atlántico","Sabanalarga     ","","180","21","","50","8","1","-5.25","201","58","0 ??/10","29%"
"13836","Bolívar","Turbaco     ","5","13","10","4","9","8","0.55555555555556","-0.125","28","21","1 ??/11","75%"
"20295","Cesar","Gamarra     ","","","27","","","8","#DIV/0!","1","27","8","0 ??/10","30%"
"20443","Cesar","Manaure     ","","19","12","","7","8","1","0.125","31","15","0 ??/10","48%"
"44560","La Guajira","Manaure     ","","15","39","","2","8","1","0.75","54","10","0 ??/10","19%"
"47053","Magdalena","Aracataca     ","","114","97","","11","8","1","-0.375","211","18","0 ??/10","9%"
"47460","Magdalena","Nueva Granada    ","","96","81","","7","8","1","0.125","177","14","0 ??/10","8%"
"47707","Magdalena","Santa Ana    ","","68","50","","3","8","1","0.625","118","11","0 ??/10","9%"
"68077","Santander","Barbosa     ","","23","23","","9","8","1","-0.125","46","17","0 ??/10","37%"
"68689","Santander","San Vicente De Chucurí  ","","5","21","","4","8","1","0.5","26","12","0 ??/10","46%"
"5656"," Antioquia","San Jerónimo    ","","36","41","","6","7","1","0.14285714285714","77","13","0 ??/10","17%"
"5660"," Antioquia","San Luis    ","","","24","","","7","#DIV/0!","1","24","7","0 ??/10","29%"
"13433","Bolívar","Mahates     ","4","6","7","3","3","7","0","0.57142857142857","17","13","1 ??/11","76%"
"15223","Boyacá","Cubará     ","","11","7","","9","7","1","-0.28571428571429","18","14","1 ??/11","78%"
"15516","Boyacá","Paipa     ","","6","11","","2","7","1","0.71428571428571","17","9","1 ??/11","53%"
"20045","Cesar","Becerril     ","5","2","9","3","1","7","-2","0.85714285714286","16","11","1 ??/11","69%"
"25645","Cundinamarca","San Antonio Del Tequendama  ","","","24","","","7","#DIV/0!","1","24","7","0 ??/10","29%"
"44110","La Guajira","El Molino    ","3","9","12","2","3","7","0.33333333333333","0.57142857142857","24","12","0 ??/10","50%"
"47692","Magdalena","San Sebastián De Buenavista  ","","24","72","","4","7","1","0.42857142857143","96","11","0 ??/10","11%"
"54377","Norte de Santander","Labateca     ","","","23","","","7","#DIV/0!","1","23","7","0 ??/10","30%"
"70670","Sucre","Sampués     ","","14","9","","3","7","1","0.57142857142857","23","10","0 ??/10","43%"
"73268","Tolima","Espinal     ","","","17","","","7","#DIV/0!","1","17","7","0 ??/10","41%"
"81591","Arauca","Puerto Rondón    ","","6","7","","4","7","1","0.42857142857143","13","11","1 ??/11","85%"
"85263","Casanare","Pore     ","","7","21","","3","7","1","0.57142857142857","28","10","0 ??/10","36%"
"5756"," Antioquia","Sonson     ","","4","19","","1","6","1","0.83333333333333","23","7","0 ??/10","30%"
